0.35,0.0449711 0.0367719 0.0532501   0.99689,19.9092 7.19503 5.89109,-0.517975   6.24638   1.42644,-0.0558178   0.216445   0.294416, -1.55252 0.0319458  0.912904
0.355,0.0448293 0.0372702 0.0540134  0.996837,19.9066 7.22626 5.89811,-0.525335    6.2453   1.38229,-0.0565812   0.216048   0.294466, -1.54873 0.0244255  0.842693
0.36,0.0446857 0.0377674 0.0547767  0.996783, 19.904 7.25748 5.90491,-0.532694   6.24419   1.33781,-0.0573431   0.215647   0.294516, -1.54497 0.0171331  0.774663
0.365,0.0445401 0.0382635 0.0555402  0.996728,19.9013  7.2887 5.91149,-0.540051   6.24308   1.29299,-0.0581036   0.215239   0.294567, -1.54123 0.0100693  0.708828
0.37,0.0443927 0.0387584 0.0563038  0.996673,19.8986 7.31991 5.91784,-0.547406   6.24195   1.24785,-0.0588627   0.214827   0.294618,  -1.53754 0.00323488   0.645205
0.375,0.0442434 0.0392521 0.0570675  0.996617,19.8958 7.35112 5.92397,-0.55476   6.2408  1.20241,-0.0596202   0.214409   0.294669,   -1.53389 -0.00336939    0.583809
0.38,0.0440922 0.0397446 0.0578313   0.99656, 19.893 7.38232 5.92986,-0.562113   6.23964   1.15667,-0.0603763   0.213985   0.294722,    -1.5303 -0.00974297    0.524654
0.385,0.0439392 0.0402359 0.0585952  0.996502,19.8902 7.41352 5.93553,-0.569464   6.23846   1.11064,-0.0611308   0.213557   0.294774,  -1.52677 -0.0158854   0.467755
0.39,0.0437844  0.040726 0.0593592  0.996444,19.8873  7.4447 5.94097,-0.576814   6.23727   1.06434,-0.0618837   0.213123   0.294828,  -1.52331 -0.0217963   0.413125
0.395,0.0436277 0.0412148 0.0601234  0.996385,19.8844 7.47589 5.94618,-0.584162   6.23606   1.01778,-0.0626351   0.212683   0.294882,  -1.51993 -0.0274753   0.360777
0.4,0.0434692 0.0417024 0.0608876  0.996325,19.8815 7.50707 5.95115,-0.591508   6.23483  0.970968,-0.0633849   0.212239   0.294936,  -1.51663 -0.0329223   0.310722
0.405,0.0433088 0.0421887  0.061652  0.996265,19.8785 7.53824 5.95588,-0.598853   6.23359  0.923915,-0.0641332   0.211789   0.294991,  -1.51342 -0.0381372   0.262974
0.41,0.0431467 0.0426737 0.0624164  0.996204,19.8755  7.5694 5.96039,-0.606196   6.23234  0.876634,-0.0648797   0.211334   0.295047,  -1.51032 -0.0431199   0.217543
0.415,0.0429827 0.0431574  0.063181  0.996142,19.8724 7.60056 5.96465,-0.613538   6.23107  0.829136,-0.0656247   0.210873   0.295103,  -1.50732 -0.0478707    0.17444
0.42,0.0428169 0.0436398 0.0639457  0.996079,19.8694 7.63171 5.96868,-0.620878   6.22979  0.781435,-0.066368  0.210408  0.295159,  -1.50444 -0.0523895   0.133675
0.425,0.0426493 0.0441209 0.0647106  0.996016,19.8662 7.66286 5.97246,-0.628217   6.22848   0.73354,-0.0671096   0.209937   0.295216,  -1.50168 -0.0566768  0.0952564
0.43,0.0424799 0.0446007 0.0654755  0.995951,19.8631   7.694 5.97601,-0.635554   6.22717  0.685465,-0.0678495    0.20946   0.295274, -1.49905 -0.060733 0.0591941
0.435,0.0423087 0.0450791 0.0662406  0.995887,19.8599 7.72513 5.97932,-0.642889   6.22584   0.63722,-0.0685877   0.208979   0.295332,  -1.49656 -0.0645584  0.0254961
